16
0,684,660
1,332,398
2,12,520
3,202,33
4,73,338
5,465,539
6,363,536
7,169,525
8,678,571
9,304,553
10,373,433
11,378,222
12,574,398
13,403,526
14,60,135
15,67,542
0,13,311.3149530620076
0,6,344.11771241829445
1,4,265.8589851782332
1,3,387.45967532118743
1,9,157.50872991678906
1,7,206.63494380186523
2,14,387.98066962156764
2,10,371.33542788158525
3,12,521.1612034677946
3,1,387.45967532118743
4,12,504.58002338578564
4,1,265.8589851782332
6,0,344.11771241829445
7,12,424.4455206501772
7,1,206.63494380186523
8,13,278.65749586185547
8,9,374.4329045369811
9,8,374.4329045369811
9,1,157.50872991678906
10,2,371.33542788158525
11,14,329.6862144524699
12,4,504.58002338578564
12,3,521.1612034677946
12,7,424.4455206501772
13,0,311.3149530620076
13,8,278.65749586185547
14,2,387.98066962156764
14,11,329.6862144524699
